"Product Code","Amazon ASIN","Name","Sku Id","Selling Price","MRP","Cost Price","Quantity","Packaging Length (in cm)","Packaging Breadth (in cm)","Packaging Height (in cm)","Packaging Weight (in kg)","GST %","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6","Image 7","Image 8","Image 9","Image 10","Video 1","Video 2","Product Type","Size Type","Size","Colour","Description","Return/Exchange Condition","Visibility","Size Chart","Pickup Point","HSN Code","Customisation Id","attr_Brand","attr_Plating","attr_color","attr_Country","attr_Pack of","attr_Print /Pattern Type","attr_Ideal for","attr_Product Type","attr_Ideal For","attr_Type","attr_Country of origin","attr_Occasion","attr_Base Material
","attr_Clasp Type","attr_Chain Type","attr_pack of","attr_Base Material","attr_Bangle Size","attr_Size","attr_Comfortable for","attr_Package Contents","attr_Gemstone","attr_Sales Package","attr_Gemstone
","attr_2>","attr_3>","attr_4>","attr_5>","attr_Stone Type","attr_Country_of_Origin"
"CH_10244","","Yellow Gold Plated Metal Star Design Chain for Women","star chain",399,999,100,2285,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/MTO2j3mf_5KPJEQERRL_2024-05-07_1.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/MTO2j3mf_2GA2XO85BF_2024-01-15_1.jpg","","","","","","","","","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/MTO2j3mf_25IOTDFWG6_2024-04-03_1.mp4","","womens_accessories__womens_fashion_jewellery__chains","size","Free Size","Gold","Introducing Our Exquisite Chain Crafted To Enhance Your 20 Carat Jewellery Collection! Made With Precision And Attention To Detail, This Stylish Chain Is Perfect For Showcasing Your Prized Possessions. Its Durable And Versatile Design Ensures It Effortlessly Elevates Any Outfit And Can Be Worn On Its Own Or Layered With Other Accessories. With Its Timeless Appeal And Superior Quality, This Chain Is A Must-Have For Jewellery Enthusiasts. Discover The Perfect Finishing Touch For Your Precious 20 Carat Pieces Today!","2",true,"",1,,"","20 carat jewellery",,,,,,,,"Women & Girls","Chain","India","Casual","Brass","S- Hook","Cable",,,,,,,,,,,,,,,
"30632560","","Gold Plated Flower Design Bangle For Women ( Set Of 6)","6 pcs gold flower_2.4",599,1499,225,4799,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/yRgGbxRH_BQ2785YEB5_2024-05-07_1.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/30632560_1688553143715_155pa18beo8jnob.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/30632560_1703679283534_bk6qwrai7rnf44r.jpg","","","","","","","","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/yRgGbxRH_MTAVPN3CVI_2023-12-25_1.MP4","","mens_accessories__mens_fashion_jewellery__bracelet","size","2.4","gold","Introducing Our Exquisite Bangle, A Breathtaking Piece Of 20 Carat Jewellery That Will Captivate Everyone'S Attention. Crafted With Utmost Precision And Love, This Bangle Showcases Timeless Elegance And Sophistication. Its Intricate Design And Sparkling Gemstones Make It A True Work Of Art. Whether As A Gift For A Loved One Or A Treat For Yourself, This 20 Carat Bangle Is A Must-Have Accessory That Exudes Timeless Beauty.","2",true,"https://s3.ap-south-1.amazonaws.com/nushop-website-assets/1716968836355_A4YMY2XV40_2024-05-29_1.jpg",1,,"","20 carat jewellery",,,,"6","Flower Design",,,"Women","Bangle","India","Casual",,,,,,,,,,,,,,,,,,
"30632560","","Gold Plated Flower Design Bangle For Women ( Set Of 6)","6 pcs gold flower_2.6",599,1499,225,4847,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.6",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30632560","","Gold Plated Flower Design Bangle For Women ( Set Of 6)","6 pcs gold flower_2.8",599,1499,225,4875,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.8",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60190772","","Micro Gold Plated Ad Diamond Mangalsutra for Women","bandhni ms",499,1149,180,4460,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/uhXL6lHp_A5GP91SBKM_2024-05-07_1.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/60190772_1688553194973_bmwrnbv3q7ual32.jpg","","","","","","","","","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/uhXL6lHp_JPUEW0707O_2023-12-25_1.MP4","","womens_accessories__womens_fashion_jewellery__necklace_sets","size","Free Size","Gold","Looking To Add A Touch Of Elegance To Your Traditional Attire? Our Stunning Mangalsutra, Crafted With 20 Carat Jewellery, Is The Perfect Choice! Embrace The Timeless Beauty Of This Piece, Featuring Intricate Details And A Delicate Chain. This Exquisite Pendant Symbolizes Love, Unity, And The Eternal Bond Of Marriage. Shop Now And Make A Lasting Impression On Your Special Day!","2",true,"",1,,"","20 carat jewellery","Gold Plated",,,,"Micro Gold Plated",,,"Women","Mangalsutra","India","Casual",,,,,,,,,,,,,,,,,,
"50230243","","Gold Plated Chain","owel chain",449,999,130,4922,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/50230243_1688553203224_xv9utqpsuqmg29o.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/50230243_1703679698633_bwz1rglimjcm3qq.jpg","","","","","","","","","","","womens_accessories__womens_fashion_jewellery__chains","size","Free Size","Gold","Elevate Your Style With Our Stunning 20 Carat Jewellery Necklace! Expertly Crafted With Exquisite Attention To Detail, This Statement Piece Is A True Showstopper. With Its Lustrous Finish And Timeless Design, It'S The Perfect Accessory To Add A Touch Of Elegance To Any Outfit. Whether You'Re Dressing Up For A Special Occasion Or Simply Want To Add A Touch Of Glamour To Your Everyday Look, This Necklace Is Sure To Turn Heads And Make You Feel Like A Million Bucks. Treat Yourself To This Extraordinary Piece And Indulge In Luxury Like Never Before!","2",true,"",1,,"","20 carat jewellery",,,,,,,,"Women","Necklace","India","Casual",,,,,,,,,,,,,,,,,,
"601815496","","Beaded American Diamond-Studded Mangalsutra","15496",449,999,100,4939,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/undefined_1692964841863_n25jy1jdihsy0mq.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/601815496_1703679376164_bvqj66zi79qohcn.jpg","","","","","","","","","","","womens_accessories__womens_fashion_jewellery__mangalsutra","size","free","gold","GOLD PLATED AD DIAMOND BALL MANGALSUTRA.","2",true,"",1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30635779","","Set Of 8 Gold Plated Bangle For Women","bundi +tako bangle _2.4",499,1249,153,4876,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/WaeeFi0b_I52O470EH7_2024-05-07_1.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/30635779_1688553157282_41c8b941psa06wt.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/30635779_1703679518547_vhz4vhol8xetc7t.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/30635779_1703679520427_zvwf7lr4jkmv5jc.jpg","","","","","","","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/WaeeFi0b_A6G2S7GW7Q_2023-12-27_1.mp4","","mens_accessories__mens_fashion_jewellery__bracelet","size","2.4","Gold","Introducing Our Exquisite Bangle, A Breathtaking Piece Of 20 Carat Jewellery That Will Captivate Everyone'S Attention. Crafted With Utmost Precision And Love, This Bangle Showcases Timeless Elegance And Sophistication. Its Intricate Design And Sparkling Gemstones Make It A True Work Of Art. Whether As A Gift For A Loved One Or A Treat For Yourself, This 20 Carat Bangle Is A Must-Have Accessory That Exudes Timeless Beauty.","2",true,"https://s3.ap-south-1.amazonaws.com/nushop-website-assets/1716968836355_A4YMY2XV40_2024-05-29_1.jpg",1,,"","20 carat jewellery",,,,,,,,"Women","Bangle","India","Casual",,,,,,,,,,,,,,,,,,
"30635779","","Set Of 8 Gold Plated Bangle For Women","bundi +tako bangle _2.6",499,1249,153,4900,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.6",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30635779","","Set Of 8 Gold Plated Bangle For Women","bundi +tako bangle _2.8",499,1249,153,4919,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.8",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A_10244_star chain","","Fancy Brass Chain For Women","A_10244_star chain",399,999,126,4980,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/A_10244_star chain_1688551609517_j3oym7to2p7dxvd.jpg","","","","","","","","","","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/kg9_p3B7_3VFM7EC7QT_2024-04-03_1.mp4","","womens_accessories__womens_fashion_jewellery__chains","size","Free Size","Gold","Introducing Our Exquisite Chain Crafted To Enhance Your 20 Carat Jewellery Collection! Made With Precision And Attention To Detail, This Stylish Chain Is Perfect For Showcasing Your Prized Possessions. Its Durable And Versatile Design Ensures It Effortlessly Elevates Any Outfit And Can Be Worn On Its Own Or Layered With Other Accessories. With Its Timeless Appeal And Superior Quality, This Chain Is A Must-Have For Jewellery Enthusiasts. Discover The Perfect Finishing Touch For Your Precious 20 Carat Pieces Today!","2",true,"",1,,"","20 carat jewellery",,,,,,,,"Women","Chain","India","Casual","Brass",,,,,,,,,,,,,,,,,
"55056","","Micro Gold Plated  Bangle(Set Of 2)","55056 2.4",399,999,80,4940,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/qST-z9IE_7YQPU2JTVK_2023-12-28_1.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/qST-z9IE_7BLLDL7TUB_2023-12-28_2.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/qST-z9IE_AHD0HDSXLE_2023-12-28_3.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/qST-z9IE_312R9PEKIL_2023-12-28_4.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/qST-z9IE_905OQ19CTX_2023-12-28_5.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/qST-z9IE_OZKGKBNHTU_2023-12-28_6.jpg","","","","","","","mens_accessories__mens_fashion_jewellery__bracelet","size","2.1","Gold","Designer micro gold plated fancy 2 pcs bangle","2",true,"https://s3.ap-south-1.amazonaws.com/nushop-website-assets/1716968836355_A4YMY2XV40_2024-05-29_1.jpg",1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55056","","Micro Gold Plated  Bangle(Set Of 2)","55056 2.6",399,999,80,4907,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.4",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55056","","Micro Gold Plated  Bangle(Set Of 2)","55056 2.8",399,999,80,4950,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.6",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55056","","Micro Gold Plated  Bangle(Set Of 2)","55056_2.10",399,999,80,4985,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.8",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45986_3 line chain","","Gold Plated 3 Layer Chain","45986_3 line chain",449,999,138,4952,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/45986_3 line chain_1688551613354_hl1m7zwpo675exv.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/45986_3_line_chain_1703679637974_09k4yyhf3mcgo5h.jpg","","","","","","","","","","","womens_accessories__womens_fashion_jewellery__chains","size","Free Size","Gold","Introducing Our Exquisite Chain Crafted To Enhance Your 20 Carat Jewellery Collection! Made With Precision And Attention To Detail, This Stylish Chain Is Perfect For Showcasing Your Prized Possessions. Its Durable And Versatile Design Ensures It Effortlessly Elevates Any Outfit And Can Be Worn On Its Own Or Layered With Other Accessories. With Its Timeless Appeal And Superior Quality, This Chain Is A Must-Have For Jewellery Enthusiasts. Discover The Perfect Finishing Touch For Your Precious 20 Carat Pieces Today!","2",true,"",1,,"","20 carat jewellery",,,,,,,,"Women","Chain","India","Casual","Brass",,,,,,,,,,,,,,,,,
"30632200","","Gold Plated Bangle For Women","30632200",449,999,99,4736,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/Z1oKL_Z7_7846D8MAR0_2024-01-16_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/Z1oKL_Z7_BJ5ZR0WT2K_2024-01-16_2.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/Z1oKL_Z7_WMXOGROHL0_2024-01-16_3.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/Z1oKL_Z7_EQHNP2LKET_2024-01-16_4.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/Z1oKL_Z7_BQSB192F11_2024-01-16_5.jpg","","","","","","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/Z1oKL_Z7_GDF6FN45XC_2023-12-27_1.mp4","","mens_accessories__mens_fashion_jewellery__bracelet","size","2.1","Gold","Introducing Our Exquisite Bangle, A Breathtaking Piece Of 20 Carat Jewellery That Will Captivate Everyone'S Attention. Crafted With Utmost Precision And Love, This Bangle Showcases Timeless Elegance And Sophistication. Its Intricate Design And Sparkling Gemstones Make It A True Work Of Art. Whether As A Gift For A Loved One Or A Treat For Yourself, This 20 Carat Bangle Is A Must-Have Accessory That Exudes Timeless Beauty.","2",true,"https://s3.ap-south-1.amazonaws.com/nushop-website-assets/1716968836355_A4YMY2XV40_2024-05-29_1.jpg",1,,"","20 carat jewellery","Gold Plated",,,,,,,"Women","Bangle","India","Casual",,,,,,,,,,,,,,,,,,
"30632200","","Gold Plated Bangle For Women","30632200_2.6",449,999,99,4871,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.4",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30632200","","Gold Plated Bangle For Women","tako+kadli",449,999,99,4876,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.6",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30632200","","Gold Plated Bangle For Women","30632200_2.10",449,999,99,4918,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.8",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"77099","","Set Of 6 Gold Plated Daily Wear Bangles","77099 2.4",799,2249,285,4917,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/77099_1699263495188_nc2aibfzcbeipwt.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/77099_1703679286516_lullwwn1s993hlh.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/77099_1703679288092_x54ggv9i4teejjm.jpg","","","","","","","","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/TE9sGP7G_U80KNKFZJB_2023-12-25_1.mp4","","mens_accessories__mens_fashion_jewellery__bracelet","size","2.4","Gold","New designer premium quality gold plated ad diamond 6 pcs bangle","2",true,"https://s3.ap-south-1.amazonaws.com/nushop-website-assets/1716968836355_A4YMY2XV40_2024-05-29_1.jpg",1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"77099","","Set Of 6 Gold Plated Daily Wear Bangles","77099 2.6",799,2249,285,4931,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.6",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"77099","","Set Of 6 Gold Plated Daily Wear Bangles","77099 2.8",799,2249,285,4952,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.8",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
